frame.time_relative,frame.protocols,ip.version,_ws.col.protocol,ip.hdr_len,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ipv6.src,ipv6.dst,tcp.analysis,tcp.port,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,icmpv6.code,icmpv6.type,udp.length,udp.port,icmp.code,icmp.type,dns.flags,dns.flags.recdesired,dns.flags.recavail,dns.flags.authenticated,dns.qry.type,dns.qry.class,dns.resp.type,dns.resp.class,dns.resp.ttl,http.connection,http.request.method,http.request.version,http.request.uri,http.response.version,http.response.code,http.user_agent,tls.handshake,tls.handshake.type,tls.handshake.version,tls.handshake.ciphersuites,ssh.host_key.type,ssh.host_sig.type,ssh.packet_length,ssh.protocol,dhcp.hops,dhcp.type,rdp.negReq.selectedProtocol,data,encrypted
4.953526,eth:ethertype:ip:tcp:tls,4.0,TLSv1.3,20.0,0x519e,0x02,False,True,False,112.0,6.0,0x11c4,20.190.159.0,192.168.50.160,143.0,,,1.0,443.0,443.0,59929.0,4408.0,1726.0,20.0,0x0018,False,False,False,True,True,False,False,4194560.0,0x6dc0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.953526,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6ced,0x02,False,True,False,56.0,17.0,0xacf9,66.22.243.9,192.168.50.160,158.0,,,,,,,,,,,,,,,,,,,,,,138.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f46ac2cd8122700003549bede000110e09004b72621d35cd22f1942302cf56dc664aa6e5b5c2e34c4d70d3698a353f608917ceea7f935e623dcefc8065e299058fcb66629635953c69ecd4df9073a7583237efaa49703dd9bf46442b07c58822f75aa0dfb00cb939719afb318908b6fd1a2b9d07124e31326bc2995577adef4f5,0
4.953709,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x945b,0x02,False,True,False,128.0,6.0,0xbf6d,192.168.50.160,20.190.159.0,40.0,,,1.0,59929.0,59929.0,443.0,1726.0,4511.0,20.0,0x0010,False,False,False,False,True,False,False,261888.0,0x57d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.958351,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6cef,0x02,False,True,False,56.0,17.0,0xaa2f,66.22.243.9,192.168.50.160,870.0,,,,,,,,,,,,,,,,,,,,,,850.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90e6f3a56ddb9bb80000354abede000322a8b3ffe2000d5c318e3600d90ed1a316e62738906fff31ea079ea831783b614007e1cf67d1e811287a55122009ea5f4b3228d37ea1cbe1d5f4f1874052d16f738ca23c3ce5819dc28599d50be8db9e19426b5dd5440eaf7f171bef08ec5a247460395b0bda1a6051b11c0ef3552f3fd967a3b8015317abeff57d29ea3277b51ee8bbf615b2aa0661e4b88e862fe18ba3715988dc03eaaf81ea7630167c8f76a672daf3ebc9e7aa123a556ed1f66214e5ed5522e6df1118573e690125fab734ed69c74aaa7faf056beeabc8fc816aea00c7ae490575c0cd3ff13b53c5f1ba1682cb742f612c88a8d302236849c3e3658f4a01e864b78b0287c3c4bc07496c4aee652abbe0e28bb3501c7fc2bf42095bfeb25baa2b13e8805e918279a9692eee511d9d1ff9a389ac384d483838c3a6549e8130b3ded5da2b445597ced2879b24a0cef641b4300a7465f5ab79052c6e4c362cbb8e209d290dceb01cfef487c17179c0ce2a14df7c1e786b2dbb3166e60d3b5c2830d6e90c8519b047052ce19dfff11dcb3ca1cf04cbd68f06fc91f1e7fce39e9df90b1368a8b2eca7857c29c3015fb973fdd39dad0d692ef977d2e180a74585b9e6a37890434f91ab5c85fef30d4fecbfc6b31d1e82b9d8d5e632d07d288467a8827cf3c5b58b6e836583e3160ef4b44113e97be0953110d4285239a073751ed82188a339796c38a3d76ea6fdb28f64f3a52af8e4ec09fefbf8eafd4d4b68bb2c10a7598f014989adce2885100d62b576ae2b08edbc51a9cf2107b09bf4d3e650e3550023247a51e7ab707f555449eeb5d60f1c993ca2f72e93a1ce9ec6eccbea5a86b648a6d65b69c0f9e332553bbbe259a882afc346e205fe90241000ebdb2623ba364ca037b5be9bbc94b031b3d0070c4b27409cb0c35ac6f89b5026af1f5087799f2dfbb8ca6cf1ad7029bb090f36d6ff5028bd9202600127bb073f963d5089ed460f4d25b5dff5a585d6b619c41232d6c42be1b34b7b0996e527328362e121912506074b0a0af84e51754470d0a17c080ffe69de8bdca27af771a5eb78cc719ac912fe8f578334b06d843cddff13e458d60a5f045e628bffef8e4bfac4ad1aac95cfe7484511921581f216d3e0b605d45de1211cebf4d4644bbfb0992468f0710445878de0,0
4.960388,eth:ethertype:ip:tcp:tls,4.0,TLSv1.3,20.0,0x5c9d,0x02,False,True,False,112.0,6.0,0x0324,20.190.159.0,192.168.50.160,1072.0,,,1.0,443.0,443.0,59931.0,4511.0,1727.0,20.0,0x0018,False,False,False,True,True,False,False,4194560.0,0x3ab9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.960438,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x945c,0x02,False,True,False,128.0,6.0,0xbf6c,192.168.50.160,20.190.159.0,40.0,,,1.0,59931.0,59931.0,443.0,1727.0,5543.0,20.0,0x0010,False,False,False,False,True,False,False,260864.0,0x646b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4.970015,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0x6cf1,0x02,False,True,False,56.0,17.0,0xacf1,66.22.243.9,192.168.50.160,162.0,,,,,,,,,,,,,,,,,,,,,,142.0,50006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f46ad2cd815e700003549bede000110e190042ea11829ca4aa8172581129ef70dc006b535199ac2e19e746c9ba60c8aedee160a4d194a48dd3613e388e8dd58fbb60fa7a667367adfffac0ee10ae77d77e0468ee1615d1e79fc76dea8ce95ab068ba7c9fa97fcb149233d43affb629a0d433ab76135d7b680d735dc005e199f8ea0ac133e,0
4.972666,eth:ethertype:ip:tcp:tls,4.0,TLSv1.3,20.0,0x519f,0x02,False,True,False,112.0,6.0,0x0e23,20.190.159.0,192.168.50.160,1071.0,,,1.0,443.0,443.0,59929.0,4511.0,1726.0,20.0,0x0018,False,False,False,True,True,False,False,4194560.0,0x582f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4.972666,eth:ethertype:ip:udp:data,4.0,UDP,20.0,0xcd72,0x02,False,True,False,57.0,17.0,0x4b09,66.22.243.52,192.168.50.160,222.0,,,,,,,,,,,,,,,,,,,,,,202.0,50023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906f7228d82ce95c00002466bede000110929002238094a8997e8e8dde054c13730224e911d3979b53a820d9e1cc54fc215f2f9fd2c4c47bd033058261c9066e23fc2abc00632e5f3ebb413863d70ac4bae8f99fc73a96d4a7f14074497f4c530b49eb291a39995695bee7e38aba40868deb3a36d7d452f78d73e6cd6963f67c6863fb5b3a8cecf0f174104b11f079eb3abfdd653cd1a7f70adae6f939d62e838cb719acedb5cbb45da5b4ee290ed2daa28e040b44328c5eb1d4991285735258447e,0
4.972743,eth:ethertype:ip:tcp,4.0,TCP,20.0,0x945d,0x02,False,True,False,128.0,6.0,0xbf6b,192.168.50.160,20.190.159.0,40.0,,,1.0,59929.0,59929.0,443.0,1726.0,5542.0,20.0,0x0010,False,False,False,False,True,False,False,260864.0,0x53d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
